"Sensor","first10_mean","first10_sd","first10_median","first10_mad","first10_min","first10_max","first10_count","first10_rollmean3","last5_mean","last5_sd","last5_median","last5_mad","last5_min","last5_max","last5_count","last5_rollmean3","full_mean","full_sd","full_median","full_mad","full_min","full_max","full_count","full_rollmean3","within_diff_mean","within_diff_sd","within_diff_median","within_diff_mad","within_diff_min","within_diff_max","within_diff_count","within_diff_rollmean3","full_pct_nonmissing"
"1998.Sensor17",2.645,NA,2.645,0,2.645,2.645,1,NA,2.096,NA,2.096,0,2.096,2.096,1,NA,2.34241228070175,NA,2.34241228070175,0,2.34241228070175,2.34241228070175,1,NA,-0.302587719298246,NA,-0.302587719298246,0,-0.302587719298246,-0.302587719298246,1,NA,7.14285714285714
"1998.Sensor18",3.701,NA,3.701,0,3.701,3.701,1,NA,4.184,NA,4.184,0,4.184,4.184,1,NA,3.53625454545455,NA,3.53625454545455,0,3.53625454545455,3.53625454545455,1,NA,-0.164745454545455,NA,-0.164745454545455,0,-0.164745454545455,-0.164745454545455,1,NA,7.14285714285714
"1998.Sensor19",6.266,NA,6.266,0,6.266,6.266,1,NA,6.43,NA,6.43,0,6.43,6.43,1,NA,5.59106617647059,NA,5.59106617647059,0,5.59106617647059,5.59106617647059,1,NA,-0.674933823529412,NA,-0.674933823529412,0,-0.674933823529412,-0.674933823529412,1,NA,7.14285714285714
"1998.Sensor20",8.941,NA,8.941,0,8.941,8.941,1,NA,8.81,NA,8.81,0,8.81,8.81,1,NA,8.08306451612903,NA,8.08306451612903,0,8.08306451612903,8.08306451612903,1,NA,-0.857935483870966,NA,-0.857935483870966,0,-0.857935483870966,-0.857935483870966,1,NA,7.14285714285714
"1998.Sensor21",3.967,NA,3.967,0,3.967,3.967,1,NA,4.096,NA,4.096,0,4.096,4.096,1,NA,4.01367272727273,NA,4.01367272727273,0,4.01367272727273,4.01367272727273,1,NA,0.046672727272727,NA,0.046672727272727,0,0.046672727272727,0.046672727272727,1,NA,7.14285714285714
"1998.Sensor22",4.86,NA,4.86,0,4.86,4.86,1,NA,5.624,NA,5.624,0,5.624,5.624,1,NA,5.34921787709497,NA,5.34921787709497,0,5.34921787709497,5.34921787709497,1,NA,0.489217877094972,NA,0.489217877094972,0,0.489217877094972,0.489217877094972,1,NA,7.14285714285714
"1998.Sensor23",10.679,NA,10.679,0,10.679,10.679,1,NA,9.984,NA,9.984,0,9.984,9.984,1,NA,7.66472222222222,NA,7.66472222222222,0,7.66472222222222,7.66472222222222,1,NA,-3.01427777777778,NA,-3.01427777777778,0,-3.01427777777778,-3.01427777777778,1,NA,7.14285714285714
"1998.Sensor24",4.291,NA,4.291,0,4.291,4.291,1,NA,4.504,NA,4.504,0,4.504,4.504,1,NA,4.17024291497976,NA,4.17024291497976,0,4.17024291497976,4.17024291497976,1,NA,-0.120757085020244,NA,-0.120757085020244,0,-0.120757085020244,-0.120757085020244,1,NA,7.14285714285714
"1998.Sensor25",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"1998.Sensor26",3.292,NA,3.292,0,3.292,3.292,1,NA,2.694,NA,2.694,0,2.694,2.694,1,NA,2.94836431226766,NA,2.94836431226766,0,2.94836431226766,2.94836431226766,1,NA,-0.343635687732342,NA,-0.343635687732342,0,-0.343635687732342,-0.343635687732342,1,NA,7.14285714285714
